zipcode,population_density,median_income,median_home_value,prop_white,arrest_rate,,,,,
78613,7,43340,120000,0.924,0.5033,,,,,
78617,320,45212,99700,0.579,0.0833,,,,,
78652,258,76604,191200,0.866,0,,,,,
78653,156,59763,141200,0.558,0.04878,,,,,
78660,1519,76007,165700,0.614,0.05932203,,,,,
78701,5036,86541,372000,0.801,0.10130135,,,,,
78702,4268,36197,188000,0.531,0.11065089,,,,,
78703,3529,80569,641200,0.888,0.18217357,,,,,
78704,4838,50930,347500,0.794,0.16862327,,,,,
78705,14272,12143,307200,0.707,0.05398346,,,,,
78712,2701,10000,0,0.707,0,,,,,
78717,1751,93701,247200,0.727,0.12289157,,,,,
78719,95,38305,112500,0.571,0.06574394,,,,,
78721,3077,33798,124800,0.377,0.12711864,,,,,
78722,3896,50923,279200,0.727,0.11148087,,,,,
78723,4083,42939,178500,0.49,0.16533759,,,,,
78724,889,38479,102000,0.384,0.12727273,,,,,
78725,346,52381,111800,0.481,0.05154639,,,,,
78726,1207,67466,344700,0.758,0.16582915,,,,,
78727,3112,69570,202600,0.693,0.12785863,,,,,
78728,2503,48612,170500,0.621,0,,,,,
78729,2939,60690,191300,0.76,0.09166667,,,,,
78730,553,120568,580300,0.879,0.06818182,,,,,
78731,2865,75268,442300,0.868,0.06471183,,,,,
78733,3122,122860,487900,0.85,0.25,,,,,
78735,785,79984,373400,0.839,0.07632094,,,,,
78736,240,84940,228900,0.875,0.04504505,,,,,
78739,1469,128597,355900,0.833,0.03793103,,,,,
78741,5915,30871,127500,0.537,0.19185732,,,,,
78742,143,19688,72100,0.654,0.11290323,,,,,
78744,2001,41721,106500,0.517,0.12289089,,,,,
78745,4166,50672,170200,0.727,0.14986188,,,,,
78746,1197,128936,634000,0.891,0.29701596,,,,,
78747,623,61599,167800,0.653,0.12364425,,,,,
78748,3207,66309,187900,0.762,0.23293769,,,,,
78749,3421,84907,237800,0.81,0.13621038,,,,,
78750,2001,76236,306900,0.763,0.07123288,,,,,
78751,6001,39032,297200,0.818,0.17577197,,,,,
78752,5403,34716,163900,0.597,0.09477841,,,,,
78753,4495,38884,135700,0.528,0.28216912,,,,,
78754,1135,54896,163000,0.499,0.05104712,,,,,
78756,4303,59854,364400,0.882,0.07617504,,,,,
78757,4335,57429,259400,0.86,0.14215445,,,,,
78758,4747,43537,146100,0.569,0.12076583,,,,,
78759,2794,66828,312300,0.806,0.07177389,,,,,
